HJD,RV,RV Error,Instrument
2460133.56105176,56.5368440339032,0.0087187989707774,ESPRESSO
2460143.55866985,76.5159898290449,0.0044248647821511,ESPRESSO
2460153.49007217,103.894898554722,0.0083193555833646,ESPRESSO
2460163.53256515,134.093246804322,0.0037268626852142,ESPRESSO
2460164.49360307,136.171080453816,0.0048965887614247,ESPRESSO
2460165.50376159,138.014007467132,0.0043233475004653,ESPRESSO
2460167.53334113,140.403201237578,0.0039448609562882,ESPRESSO
2460168.51896916,140.827709450195,0.0037282279008205,ESPRESSO
2460169.55088376,140.702529389376,0.0040725076195528,ESPRESSO
2460170.50492373,140.026945879985,0.0064609757051282,ESPRESSO
2460172.49642063,136.967010870316,0.0034113340343592,ESPRESSO
2460173.50168685,134.578363322935,0.0041339379920096,ESPRESSO
2460175.60954995,128.014303034374,0.0041998257220353,ESPRESSO
2460176.56980206,124.440104532543,0.0047268494302683,ESPRESSO
2460177.51388963,120.655949445946,0.0040265196264112,ESPRESSO
2460178.4970104,116.487100476623,0.0031446190619947,ESPRESSO
2460179.48759297,112.13622964087,0.0038432244275067,ESPRESSO
2460181.4862474,103.115161155179,0.0035704644368305,ESPRESSO
2460182.51696422,98.4518184311572,0.0057865394447583,ESPRESSO
2460183.48443316,94.1417619651224,0.0034079212390152,ESPRESSO
2460193.50928315,56.974579218871,0.0052234127332291,ESPRESSO
2460197.49980121,46.5794725215611,0.0070366751759972,ESPRESSO
2460202.50547691,36.3992186520153,0.0054682009755109,ESPRESSO
2460204.51537427,33.071990475996,0.0039560011836043,ESPRESSO
2460206.52023807,30.1236656874057,0.0057370952201654,ESPRESSO
2460211.50279759,24.0716861679319,0.0077697548284739,ESPRESSO
2460213.51076397,22.0682795090471,0.0051808151174248,ESPRESSO
